,ML,loss,Input Num,Input,weight,MAPE train,MAPE test,MAPE val
158,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_addloop']",1,0.03007987,0.062429473,0.066803444
69,lgb,l2,5,"['Total Frames', 'Params', 'matrix_conv', 'matrix_dot', 'matrix_add']",1,0.022560522,0.062430782,0.06905542
11,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'transfer_roundtrip', 'matrix_add']",1,0.030584704,0.062454739,0.065902538
190,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_convloop', 'matrix_add', 'matrix_addloop']",1,0.028932014,0.06249922,0.067054203
216,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dotloop']",1,0.028032773,0.062509886,0.06576216
365,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.028767341,0.062574177,0.066753278
438,lgb,l2,9,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.028767341,0.062574177,0.066753278
151,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_dot', 'matrix_addloop']",1,0.029620484,0.062590459,0.06872189
180,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot', 'matrix_add']",1,0.029244982,0.062601298,0.067844151
145,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot']",1,0.030412067,0.062609809,0.066575368
237,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.029082128,0.062614604,0.071598652
327,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_add', 'matrix_addloop']",1,0.029625864,0.062624997,0.067718631
120,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_convloop', 'matrix_dot']",1,0.028719768,0.062650938,0.068632133
42,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_addloop']",1,0.029192863,0.062727199,0.064639305
128,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_dotloop', 'matrix_addloop']",1,0.029678005,0.062739482,0.067997394
269,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.029678005,0.062739482,0.067997394
323,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot', 'matrix_add', 'matrix_addloop']",1,0.027861992,0.062763244,0.067968159
328,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.027676053,0.06276379,0.071847696
233,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop', 'matrix_addloop']",1,0.028653978,0.062781248,0.067020836
360,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.028653978,0.062781248,0.067020836
284,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_dot', 'matrix_dotloop']",1,0.029677295,0.062785183,0.065201495
