,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1718,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.97942,5.61112,33.28608,13th corei5 - GTX1650
1719,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.64729,5.28375,25.06352,1th Xeon Gold - RTX4070
1720,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",3.7508,4.50363,13.99892,13th corei7 - RTX3050
1721,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",3.77775,4.66331,14.36781,13th corei5 - GTX1080
1722,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.6153,5.44242,26.49146,13th corei5 - RTX4070
1723,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.59598,5.26457,9.36439,13th corei7 - RTX3060 Ti
1724,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.05763,4.61928,14.27756,13th corei5 - RTX3050
1725,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.87489,5.4408,13.40208,1th Xeon Gold - GTX1080
1726,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.90736,5.42819,22.46586,9th corei7 - RTX2080 Ti
1727,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.75357,5.26561,16.45086,13th corei7 - RTX4070
1728,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.79379,3.38624,57.37416,13th corei5 - RTX3060 Ti
1729,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_boost_clock(GHz)', 'VRAM(GB)']",2.80112,3.33239,19.02394,13th corei7 - GTX1080
