Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),cpu_core,cpu_boost_clock(GHz),cpu_thread,cpu_cache(MB),gpu_architecture,gpu_core,gpu_boost_clock(GHz),VRAM(GB)
frame1500_6,1500,360,640,230400,456.89137268066406,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,24.080281734466553,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_7,1500,360,640,230400,449.89038467407227,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,24.332117319107056,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_8,1500,720,1280,921600,1709.3236331939695,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,25.90867280960083,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_9,1500,360,640,230400,617.8049640655518,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.42139196395874,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_0,2000,360,640,230400,889.6308012008667,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,31.151829957962036,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_1,2000,360,640,230400,841.1509265899658,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,31.756730318069454,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_10,2000,360,640,230400,713.6719493865967,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.11048603057861,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_11,2000,540,960,518400,2144.325114250183,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,33.708215951919556,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_12,2000,720,1280,921600,1324.1342267990112,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,34.003013372421265,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_13,2000,540,960,518400,1358.6872491836548,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.535428047180176,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_14,2000,360,640,230400,752.9554786682129,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.235835552215576,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
